ID;name;email;phone
11111111-1111-1111-1111-111111111111;Best Supplies Ltd;sales1@best-supplies.com;+1-202-555-1111
22222222-2222-2222-2222-222222222222;Global Trade GmbH;contact2@globaltrade.de;+49-30-123456
33333333-3333-3333-3333-333333333333;Acme Corp;info3@acme.com;+1-212-555-3333
44444444-4444-4444-4444-444444444444;Tech Supplies Inc;sales4@techsupplies.com;+1-415-555-4444
55555555-5555-5555-5555-555555555555;Industrial Parts Co;contact5@industrialparts.com;+1-312-555-5555
66666666-6666-6666-6666-666666666666;Office Essentials Ltd;info6@officeessentials.com;+44-20-555-6666
77777777-7777-7777-7777-777777777777;Logistics Pro;sales7@logisticspro.com;+1-718-555-7777
88888888-8888-8888-8888-888888888888;Furniture Factory;contact8@furniturefactory.com;+1-213-555-8888
99999999-9999-9999-9999-999999999999;Gadget World;info9@gadgetworld.com;+1-305-555-9999
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa;SupplyHub;sales10@supplyhub.com;+1-646-555-1010
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb;QuickParts;contact11@quickparts.com;+1-917-555-1111
cccccccc-cccc-cccc-cccc-cccccccccccc;MegaCorp;info12@megacorp.com;+1-404-555-1212
dddddddd-dddd-dddd-dddd-dddddddddddd;Alpha Supplies;sales13@alphasupplies.com;+1-202-555-1313
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee;Beta Traders;contact14@betatraders.com;+1-202-555-1414
ffffffff-ffff-ffff-ffff-ffffffffffff;Gamma Industries;info15@gammaindustries.com;+1-202-555-1515
00000000-0000-0000-0000-000000000001;Delta Goods;sales16@deltagoods.com;+1-202-555-1616
00000000-0000-0000-0000-000000000002;Epsilon Co;contact17@epsilonco.com;+1-202-555-1717
00000000-0000-0000-0000-000000000003;Zeta Supplies;info18@zetasupplies.com;+1-202-555-1818
00000000-0000-0000-0000-000000000004;Eta Traders;sales19@etatraders.com;+1-202-555-1919
00000000-0000-0000-0000-000000000005;Theta Industries;contact20@thetaindustries.com;+1-202-555-2020
00000000-0000-0000-0000-000000000006;Iota Corp;info21@iotacorp.com;+1-202-555-2121
00000000-0000-0000-0000-000000000007;Kappa Parts;sales22@kappaparts.com;+1-202-555-2222
00000000-0000-0000-0000-000000000008;Lambda Supplies;contact23@lambdasupplies.com;+1-202-555-2323
00000000-0000-0000-0000-000000000009;Mu Traders;info24@mutraders.com;+1-202-555-2424
00000000-0000-0000-0000-000000000010;Nu Industries;sales25@nuindustries.com;+1-202-555-2525
00000000-0000-0000-0000-000000000011;Xi Corp;contact26@xicorp.com;+1-202-555-2626
00000000-0000-0000-0000-000000000012;Omicron Ltd;info27@omicron.com;+1-202-555-2727
00000000-0000-0000-0000-000000000013;Pi Supplies;sales28@pisupplies.com;+1-202-555-2828
00000000-0000-0000-0000-000000000014;Rho Traders;contact29@rhotraders.com;+1-202-555-2929
00000000-0000-0000-0000-000000000015;Sigma Industries;info30@sigmaindustries.com;+1-202-555-3030
00000000-0000-0000-0000-000000000016;Tau Corp;sales31@taucorp.com;+1-202-555-3131
00000000-0000-0000-0000-000000000017;Upsilon Ltd;contact32@upsilon.com;+1-202-555-3232
00000000-0000-0000-0000-000000000018;Phi Supplies;info33@phisupplies.com;+1-202-555-3333
00000000-0000-0000-0000-000000000019;Chi Traders;sales34@chitraders.com;+1-202-555-3434
00000000-0000-0000-0000-000000000020;Psi Industries;contact35@psiindustries.com;+1-202-555-3535
00000000-0000-0000-0000-000000000021;Omega Corp;info36@omegacorp.com;+1-202-555-3636
00000000-0000-0000-0000-000000000022;Vertex Ltd;sales37@vertex.com;+1-202-555-3737
00000000-0000-0000-0000-000000000023;Pinnacle Supplies;contact38@pinnacle.com;+1-202-555-3838
00000000-0000-0000-0000-000000000024;Summit Traders;info39@summit.com;+1-202-555-3939
00000000-0000-0000-0000-000000000025;Crest Industries;sales40@crestindustries.com;+1-202-555-4040
